ID,Use Case,AI Product,Delivery Owner,Status,Current Phase,Lifecycle Sub-Step,AI Governance Step,AI PO,AI Strategist,Buy/Build/Adapt,Submitter,Business Partner,Business Area,Executive Summary,Build Lead,Priority,Risk Assessment,Comments,Problem Statement,Description,Governance Notes,Timing Considerations,Is Real Data Required?,Does it Drive Internal Efficiency?,Data Scope,AI Solution or Tools of Interest,Build Status,Does it leverage AI on Products?,Build Notes,PV ID,Risk Level,In Scope,Modified By,Submission Date,Created,Submission Year,Intake & Triage Date,Risk Review Date,AI OC Review Date,AI GB Review Date,AI ARC Complete Date,Deployment/Approval Date,Completion,Stakeholders,In Build Team Scope,ADO Epic,Doc link. Funding Commitment Form,Doc link. Level of Effort,Doc link. Functional Design Document,Doc link. Technical Design Document,Doc link. Application Installation Quallification (AIQ),Doc link. Code Review,Doc link. Runbook,Doc link. Hypercare Exit Criteria,Doc link. SIT Test Scripts,Doc link. UAT Test Scripts,Modified,Total Priority,AI Validation Status,AI Monitoring Required,AI Safety and Performance Status,Financial ROI,Strategic Priority,Continuity,Regulatory priority level,Total Priority McKensey,Business Unit: Group,LOE Tshirt Size,Projected Value $,Doc link. BCFM,Doc link. URS Requirements,ROM / LOE Total Amount,Feasibility (Complexity & Data Readiness),Scalability or Reusability,Total Priority -Opt
162,LM Studio (POC),,,In-Progress,3. Evaluation,01. Use Case Submission,Pending Assessments / AI ARC,"Flores, Fernando",,Buy,"Nair, Gautam",,DRE,,,Routine,/:x:/s/AIStrategy/EeQdMWt0AlhLsb8XHBscBigB5Nm467kBIqTqtWe76lZBqg?e=gGAPFH,"12/15 --> Fer, Waiting for PoC Completetion.",,The team wants to download AI models from Hugging face and use LM studio to run it locally. https://lmstudio.ai/ ,"11/07/2025: I spoke with Gautam an this is only a POC, it is not going to be deployed into production.
11/25/2025: I sent an email to Gautam so we could confirm the POC fast track. We determined that Gautam could continue and complete his POC and let us know when he would want to move forward with a tool or technology, to re-engage.
11/25/2025: This was fast tracked and was not needed AI I&T meeting.
Once they determine they want to move forward with whatever tool or technology, just to re-engage with us as there are things he'll need to do for them to use it in a production setting. Ideation POC status.",,TRUE,TRUE,,,0-Not Assigned,TRUE,,,High,Yes,"Abreu, Matthew",11/4/25,11/7/25 5:05,2025,11/25/25,,,,,,0%,,No,,,,,,,,,,,,5/4/26 8:12,30,Not Assessed,Not Assessed,Required,,,,,0,Other,,,,,,,,0
163,Vocera Translator on a Badge,,,In-Progress,3. Evaluation,11. Active Downstream Assessments,Scheduled for AI OC Review,"De la Torre, Gustavo",,Build,"Purohit, Rishi","Rapoza , Ernie",Medical,,,Time-Sensitive,/:x:/s/AIStrategy/EflFjYLN031DqT7EV7XQ2wABn0naTXxWEK4pw1lbJblWAQ?e=sJLCEm,"12/05 --> Fer, Long will give updates about this tool next week. 12/15 --> Fer, no further updates from Logn, still on assessment.","In hospitals today, access to language translation services are available yet are limited. They are mandated to be provided by both the Civil Rights Act & the ACA, but depending on the resources a health system has, they may not be available for every interaction a nurse/clinician would have with their non-english speaking patient. ","Vocera has an opportunity to provide an AI based ""translator on a badge"" experience where badge users can issue the command ""Call the translator"", specificy which language they would want to translate between (i.e. English to Spanish), and then have the Badge act as the translator between the nurse and their patient. Specifically the badge would listen to one user (i.e. speaking english), translate the string of text to the other language, and then annunciate it out loud for the other listener to hear. The other user could respond in Spanish and then have that translated to English. This would continue until the session is complete and the user hits the ""call button"" on the badge.","11/11/2025: Matt requested priority to this use case. He will present it on Nov 18th Intake & Triage.
11/18/2025: I&T Continue with risk review.
11/19/2025: Risk Review: Continue with asssessments. Share timeline and relevant details with Matthew to
facilitate AIOC review and broader group discussion for the Vocera AI interpreter use case, including
ongoing coordination as needed.
03/02/2026: This use case will be added in the next March AIOC review so they can close the follow up items and approve. 1st AI OC 12/11/2025 and next one 03/12/2026.",,TRUE,TRUE,,,0-Not Assigned,TRUE,,,High,Yes,"Abreu, Matthew",11/4/25,11/7/25 5:28,2025,11/18/25,11/19/25,4/9/26,,,,0%,,No,,,,,,,,,,,,5/4/26 6:26,30,Not Assessed,Not Assessed,Required,,,,,0,Commercial US,,,,,,,,0
164,Loxo's AI Notetaker,,AI Office,Completed,6. Approved for Use,12. Complete,AI Governance Completed,"Flores, Fernando",,Add-On,"Zalewski, Rick","Pizarro, Laurie",HR,,,Routine,/:x:/s/AIStrategy/EVJwms1Hn8dDhNaiA-laX9sBDuBxn6xDPxBhnS20ZCJVxA?e=kMBt3q,"12/05 --> Fer, going through the Model Performance",,"Recruiters spend a lot of time interviewing and take notes typed or written.  Then, need to go back clean up and then recapture in templates for hiring executive consumption.  A very inefficient, and timely process.  ","11/07/2025: Requested to complete TAB2.
12/05/2025: Fast track but add it in the I&T meeting notes.",,TRUE,TRUE,,,0-Not Assigned,TRUE,,,,Yes,"Abreu, Matthew",11/5/25,11/7/25 5:54,2025,12/9/25,,,,1/20/26,,0%,,No,,,,,,,,,,,,5/4/26 6:24,30,Required,Not Required,Completed,,,,,0,Corporate,,,,,,,,0
165,CRHR - Onboarding Agent,,,In-Progress,1. Ideation,01. Use Case Submission,Additional Info Needed,"Ballestero, Michael","Heller, Amanda",Co-Build,"Gomez , Fabian Jose","Ramos, Rony",Finance,,,Time-Sensitive,/:x:/s/AIStrategy/ET-1Ufr03aBFsJ0QjyU20MgBVjT0EwJXsek_xwtWoIf_vQ?e=iIzwVi,,,"Currently, when a new employee joins the company, they need to learn a significant amount about the organization, including policies, code of conduct, benefits, and more. This is managed through an onboarding process led by HR, which typically lasts about two weeks.","11/10/2025: Amanda requested to prioritize this use case. 
11/25/2025: I&T: The use case should proceed through the AI Office, with Alejandro offering to include the use case in the AI Foundry platform for broader scalability and lower incremental effort. No Risk Review is required at this stage.",,TRUE,TRUE,,,0-Not Assigned,TRUE,,,Low,Yes,"Elizondo, Carlos",11/6/25,11/7/25 7:01,2025,11/25/25,,,,,,0%,,No,,,,,,,,,,,,3/20/26 11:11,30,Not Assessed,Not Assessed,Required,,,,,0,Corporate,,,,,,,,0
166,I2C - Disputes Helper Agent,,,Completed,8. Cancelled,01. Use Case Submission,Cancelled,"Ballestero, Michael","Heller, Amanda",Co-Build,"Gomez , Fabian Jose","Ramos, Rony",Finance,,,Time-Sensitive,/:x:/s/AIStrategy/ER5Q2WpdacJGiMere-BHkc8Ba0eA3Oyic2kQt8jCrzFolg?e=yQMzna,,,"Currently, dispute resolution processes within Invoice-to-Cash can be time-consuming, potentially damaging customer relationships and leading to incorrect charges, among other issues. The proposed solution is to implement an AI agent capable of reviewing all relevant case information based on existing policies and conditions, and providing a recommendation for resolution. Final decision will relay in human.","11/10/2025: Amanda requested to prioritize this use case. 
11/24/2025: Fabricio requested to cancel this use case and create this one BlackLine Modernization Agent.
12/12/2025: I&T: Add as 4th use case for review as per Amanda prioritization request.
12/16/2025: This use case was prioritized for today but Fabian was not able to present it.
12/24/2025: Fabian confirmed that this use case is cancelled.",,TRUE,TRUE,,,0-Not Assigned,TRUE,,,Medium,Yes,"Perez, Alfonso",11/6/25,11/7/25 7:46,2025,,,,,,,0%,,No,,,,,,,,,,,,3/6/26 16:17,30,Not Assessed,Not Assessed,Completed,,,,,0,Corporate,,,,,,,,0
167,AJL Automated Job Leveling,,AI Office,In-Progress,3. Evaluation,01. Use Case Submission,Pending Assessments / AI ARC,"Flores, Fernando",,Add-On,"Bates, Jill","Pizarro, Laurie",HR,,,Routine,/:x:/s/AIStrategy/EborIUJDJBJKvcGhq8HoWEMB8qIpdghFRJ5oSMtCzL4nZQ?e=hMaiMk,"12/15 --> Fer, further discussion needed to understand tool use.",,"As we continue to be challenged to do more with less, and focus on work that provides the greatest value, AI offers tremendous opportunities for process efficiencies.","12/02/2025: Jill and Laurie will begin required assessments for the AI add-on, with works council review to be confirmed, and move forward with the architecture review once assessments are complete. Team may fast-track without a formal risk or AI Operating Committee review.",,TRUE,TRUE,,,0-Not Assigned,TRUE,,,High,Yes,"Abreu, Matthew",11/7/25,11/7/25 9:28,2025,12/2/25,,,,,,0%,,No,,,,,,,,,,,,5/4/26 8:01,30,Not Assessed,Not Assessed,Required,,,,,0,Corporate,,,,,,,,0
168,Syndio Intelligent Pay,,AI Office,In-Progress,3. Evaluation,01. Use Case Submission,Pending Assessments / AI ARC,"Flores, Fernando",,Add-On,"Bates, Jill","Pizarro, Laurie",HR,,,Routine,/:x:/s/AIStrategy/EUBWRqW6L8tDkMMsx82tw0oButoD-eWgvw4lZq7uDPuX8g?e=NpZtq7,"12/15 --> Fer, this tool should be review for concerning's similar to HiredScore on workday. Needs further discussion.",,"With the increasing regulations around pay transparency and equity, we need to be able to make consistent, competitive, and fair offers to candidates.  Today, this is a manual process which causes slow downs in the offer process. ","12/2: No risk or intake review needed as this will be part of the add-on fast-track pilot-
Jill and Laurie will continue parallel assessments for the AI add-on, verify works council requirements, and move forward with the architecture review once assessments are complete. Team may fast-track without a formal risk or AI Operating Committee review.",,TRUE,TRUE,,,0-Not Assigned,TRUE,,,High,Yes,"Abreu, Matthew",11/7/25,11/7/25 9:34,2025,12/2/25,,,,,,0%,,No,,,,,,,,,,,,5/4/26 8:08,30,Not Assessed,Not Assessed,Required,,,,,0,Corporate,,,,,,,,0
169,Multi Division QMS Translation ,Azure AI Translation,AI Office,In-Progress,1. Ideation,01. Use Case Submission,Scheduled for AI OC Review,"Ballestero, Michael","Heller, Amanda",Build,"Doling, James","Wernette, Shaun",GQO,,,Routine,/:x:/s/AIStrategy/ESJ_dDmW34NNjzk1SuzqEp0BOJ8Xt9woTh33kEIT-0Pj4Q?e=1vFV5D,"11/12 -->Fer to follow up with Shaun, on Nov 17th. 12/09 Follow up with Pre-DRB Status",,"Provide point of use translations of documents from English to end users languange and vice versa.  Languanges targeted are Spanish, Polish, Chinese.","11/18/2025: Shaun is available to present his use case on Dec 9th. We need to send the invite and CC: james.doling@stryker.com
shaun.wernette@stryker.com
blake.tindol@stryker.com
 12/04/2025: Invite for I&T sent.
12/09/2025: Present use case in Risk Review meeting.
12/10/2025:Risk review: AIOC required.",,TRUE,TRUE,,,0-Not Assigned,TRUE,,1008309,Medium,Yes,"Elizondo, Carlos",11/10/25,11/11/25 14:28,2025,12/9/25,12/10/25,2/12/26,,,,0%,,No,,,,,,,,,,,,3/27/26 7:11,50,Not Assessed,Not Assessed,Required,3,4,1,0,8,GQO,Medium $250k,"$500,000.00 ",,,,4,5,70
170,VelocityEHS,,AI Office,In-Progress,3. Evaluation,01. Use Case Submission,Pending Assessments / AI ARC,"Flores, Fernando",,Buy,"MUKODA, TIM",,Cross-Divisional,,,Routine,/:x:/s/AIStrategy/Ea2vOnn2kppChLnT2XCk-YIBaWYHh_n1XnIvic1YZ9oYfA?e=h4nyMW,,,"Stryker employees experience a significant number of injuries related to repetitive motion and cumulative trauma, which can often be linked to poor interface between the worker and the workstation. The proposed solution provides a tool to conduct ergonomic assessments in real time that provide detailed recommendations for improving the work environment and reducing work related injuries.","11/17/2025: I Already spoke with Tim and gave a quick overview about the process. 
12/04/2025: Invite for I&T sent.
12/09/2025: I&T complete. Next Step: Risk Review. Tim confirmed to present it.
12/11/2025: Risk Review: Continue with downstream assessments.",,TRUE,TRUE,,,0-Not Assigned,TRUE,,,Medium,Yes,"Abreu, Matthew",11/10/25,11/11/25 14:36,2025,12/9/25,12/10/25,,,,,0%,,No,,,,,,,,,,,,5/4/26 8:10,30,Not Assessed,Not Assessed,Required,,,,,0,Cross-Divisional,,,,,,,,0
172,Digital Rolodex,,,New Submission,1. Ideation,01. Use Case Submission,Pending Intake & Triage,"Ballestero, Michael","Heller, Amanda",Co-Build,"Radcliff, Ryan","Perez, Dianet",Joint Replacement,,,Routine,/:x:/s/AIStrategy/EceBFCTEWj1EgS2cfQFiE34B32b-qMmFvjVHTbUHi3WqUg?e=4gMUPv,,,Looking to create a tool that provides a business contact for first-contact on outstanding invoices.,"11/21/2025: Ryan said that this is a team project so he will follow up with the team and will get back to me. He would like to confirm with the team before committing (Dec 16th I&T?).
01/07/2026: Ryan: The larger team is a bit unresponsive as well.... lets push back to late February at this point.
02/27/2026: I sent a follow up chat to Ryan and haven´t had any response. Follow up with ITBP",,TRUE,TRUE,,,0-Not Assigned,TRUE,,,Low,Yes,"Perez, Alfonso",11/10/25,11/12/25 17:54,2025,,,,,,,0%,,No,,,,,,,,,,,,3/7/26 17:23,30,Not Assessed,Not Assessed,Required,,,,,0,Commercial US,,,,,,,,0
173,Get DX,,AI Office,In-Progress,3. Evaluation,11. Active Downstream Assessments,Pending Assessments / AI ARC,"Flores, Fernando",,Buy,"Tomlinson, David","Sperry, Brad",Medical,,,Routine,/:x:/s/AIStrategy/Ecp0MRFSM5BMneb9Mv5pPeAB0p2938x4SzymanwAct8K7w?e=iH2hO7,1/28 --> On Assessments,,"Get DX solves the challenge of fragmented engineering data and manual reporting by providing AI-powered insights that streamline performance analysis and decision-making. It helps teams quickly understand productivity metrics, identify bottlenecks, and improve operational efficiency.","11/20/2025: Brad confirmed that will present the use case. Please CC david.tomlinson@stryker.com.
FORWARD invite.
12/09/2025: Brad confirmed that this is a new app.
12/16/2025: No deep risk review or AIOC is required, but standard downstream assessments should be completed.",,TRUE,TRUE,,,0-Not Assigned,TRUE,,,High,Yes,"Abreu, Matthew",11/11/25,11/12/25 18:06,2025,12/16/25,,,,,,0%,,No,,,,,,,,,,,,5/4/26 8:13,30,Not Assessed,Not Assessed,Required,,,,,0,Commercial US,,,,,,,,0
174,Distiller SR,,AI Office,Completed,8. Bad Information,01. Use Case Submission,,"Flores, Fernando",,Buy,"Dayal, Shaili","Maurer, Heather",Cross-Divisional,,,Urgent,/:x:/s/AIStrategy/EWYmpTOZGb5Dja1mgBs0_g0BILKwCaIhc8jJnw-M6Pfouw?e=jEi70u,,,"High volume of literature to screen, appraise and analyze.
Time-consuming manual processes for data extraction and quality assessment.",,,TRUE,TRUE,,,0-Not Assigned,TRUE,,,High,Yes,"Abreu, Matthew",11/12/25,11/13/25 18:44,2025,,,,,,,0%,,No,,,,,,,,,,,,5/4/26 6:11,30,Not Assessed,Not Assessed,Completed,,,,,0,Cross-Divisional,,,,,,,,0
175,Verse VPPA Forecasting,,AI Office,In-Progress,3. Evaluation,11. Active Downstream Assessments,Pending Assessments / AI ARC,"Flores, Fernando",,Buy,"Levine, Eli","Aneja, Vandana",GQO,,,Routine,/:x:/s/AIStrategy/EW8iwb936nZHvXXbA6BB96EBrIKsJ7pm43le4wGxDH7toQ?e=f4cbiV,12/16 --> Going to assessments. 1/27 --> Going to AI ARC,,Stryker has long term investments in Renewable Energy Assets offsite that have a financial settlement associated with them. This tool allows us to better forecast the financial settlements and the sustainable benefits. ,"11/20/2025: Eli will present the use case. 
FORWARD invite to Eli, William Christian and Vandana.
12/09/2025: Vandana confirmed that this is a new app.
12/16/2025:No
deep risk review or AIOC is required, but standard downstream assessments should be completed.",,TRUE,TRUE,,,0-Not Assigned,TRUE,,,Medium,Yes,"Abreu, Matthew",11/13/25,11/13/25 19:18,2025,12/16/25,,,,,,0%,,No,,,,,,,,,,,,5/4/26 8:09,30,Not Assessed,Not Assessed,Required,,,,,0,GQO,,,,,,,,0
177,SRE - ITOps,,,New Submission,1. Ideation,01. Use Case Submission,Pending Risk Review,"Arguedas, Andre",,Co-Build,"Thakur, Vinay (Contractor)",,EDT,,,Routine,/:x:/s/AIStrategy/EZRGOIy5w9xBhLAXLKxfTzYBxGtZVwi5O87dWOG9ODEqtw?e=vC4g6z,,"Problem Statement 
1. Operational Context
In warehouse or logisitics, label printers are critical to operations - they print shipping, inventory, or packaging labels required to move goods efficiently. A single printer outage can halt order creation and shipping line, delay orders and create cascading downstream impacts on fulfillment metrics. 
2. The Issue 
When the label printer outage occurs (eg print spooler crash, driver failure, network disconnection), the incident detection and resolution process is often manual, reactive and fragmented:
IT teams depend on end-user reports or delayed monitoring alerts.
Diagnosis requires manual log checks, Event Viewer review or spooler cleanup. 
Root causes may vary (corrupted print jobs, spooler service crash, driver mismatch or network issue)","Use Case Need:  
To design and deploy SRE Agent - Printer related issues that can:
Detect, Diagnose and provide recommended resolution for common printer or system outages 
Reduce manual intervention through safe automation
Provide consistent RCA documentation and feedback to the knowledge base.
","12/16/2025: Rakesh confirmed the project is currently a POC under an existing capacity and technology project. Reach out to Carlos to
set up the risk review meeting as soon as the planning phase kicks off.",,TRUE,TRUE,,,0-Not Assigned,TRUE,,,Medium,Yes,"Perez, Alfonso",11/20/25,11/21/25 9:17,2025,12/16/25,,,,,,0%,,No,,,,,,,,,,,,3/6/26 12:16,30,Not Assessed,Not Assessed,Required,,,,,0,EDT,,,,,,,,0
178,BlackLine Modernization Agent,,,In-Progress,1. Ideation,01. Use Case Submission,Pending Assessments / AI ARC,"Ballestero, Michael","Heller, Amanda",Co-Build,"Gomez , Fabian Jose","Ramos, Rony",Finance,,,Routine,/:x:/s/AIStrategy/EUFa1pXmXm1JgXkiQMv4sJ8B0G8HGHwy6c_JTnkSawZ9cw?e=odMVib,,,"BlackLine team members collaborate with multiple stakeholders across finance transformation initiatives. However, there is currently no centralized, intelligent mechanism to capture insights, provide reference links, or access the most relevant BlackLine materials in real time. This results in:
• Missed opportunities to leverage up-to-date documents and supporting content
• Fragmented data stored across emails, Excel sheets, and Teams chats, leading to lost contextual knowledge
• Delayed follow-ups and inconsistent messaging between project teams, administrators, and end users due to limited access to consolidated information","11/24/2025: Fabricio requested to delete the Disputes Use Case and change it for this one.
11/25/2025: I&T: Fabian agreed to meet with Michael to review the current pilot and assess whether the new use case can be incorporated or benefit from existing solutions. No Risk Review is required at this stage.
01/14/2026: Risk Rev: No escalation to the AI Operating
Committee is required and complete Downstream Assessments.",,TRUE,TRUE,,,0-Not Assigned,TRUE,,,Low,Yes,"Perez, Alfonso",11/24/25,11/24/25 13:46,2025,11/25/25,1/14/26,,,,,0%,,No,,,,,,,,,,,,3/7/26 17:23,30,Not Assessed,Not Assessed,Required,,,,,0,Corporate,,,,,,,,0
